name,season,fantasy_points,cluster
Jonathan Taylor,2021,333.1,Elite
Saquon Barkley,2024,322.3,Elite
Derrick Henry,2024,317.40000000000003,Elite
Derrick Henry,2020,314.1,Elite
Jahmyr Gibbs,2024,302.9,Elite
D'Onta Foreman,2022,126.0,Low Tier
Tank Bigsby,2024,122.0,Low Tier
Gus Edwards,2020,119.2,Low Tier
Kareem Hunt,2023,103.5,Low Tier
Tyler Allgeier,2024,93.2,Low Tier
Patrick Ricard,2017,13.2,Bottom Tier
D'Onta Foreman,2018,8.7,Bottom Tier
Tyler Badie,2022,8.4,Bottom Tier
Nick Bellore,2019,8.3,Bottom Tier
Reggie Gilliam,2020,7.6,Bottom Tier
Christian McCaffrey,2019,355.2,High Tier
Christian McCaffrey,2023,324.3,High Tier
Alvin Kamara,2020,294.8,High Tier
Saquon Barkley,2018,294.8,High Tier
Christian McCaffrey,2018,278.5,High Tier
Jerome Ford,2023,169.20000000000002,Mid Tier
Javonte Williams,2021,161.9,Mid Tier
Rico Dowdle,2024,158.8,Mid Tier
AJ Dillon,2021,151.6,Mid Tier
David Montgomery,2019,145.4,Mid Tier
