name,season,fantasy_points,cluster
Taysom Hill,2020,148.62,Bottom Tier
Taysom Hill,2022,136.8,Bottom Tier
Taysom Hill,2021,117.72000000000001,Bottom Tier
Noah Gray,2022,42.0,Bottom Tier
Tommy Tremble,2021,33.1,Bottom Tier
Tucker Kraft,2024,113.30000000000001,Mid Tier
Cole Kmet,2022,97.3,Mid Tier
Tyler Higbee,2020,84.2,Mid Tier
Kyle Pitts,2024,84.2,Mid Tier
Isaiah Likely,2024,81.7,Mid Tier
George Kittle,2022,140.5,High Tier
George Kittle,2023,138.20000000000002,High Tier
Jonnu Smith,2024,134.3,High Tier
Mark Andrews,2024,133.8,High Tier
Dalton Schultz,2021,130.8,High Tier
Travis Kelce,2020,207.76,Elite
Travis Kelce,2022,206.3,Elite
Mark Andrews,2021,194.10000000000002,Elite
Travis Kelce,2018,191.6,Elite
Darren Waller,2020,171.60000000000002,Elite
Taysom Hill,2023,110.52000000000001,Low Tier
Taysom Hill,2019,83.2,Low Tier
Marcedes Lewis,2017,63.800000000000004,Low Tier
Mo Alie-Cox,2021,55.6,Low Tier
Will Dissly,2022,52.900000000000006,Low Tier
