name,season,fantasy_points,cluster
Deebo Samuel,2021,261.96000000000004,High Tier
Jaylen Waddle,2022,184.20000000000002,High Tier
Robert Woods,2018,179.6,High Tier
Brandon Aiyuk,2023,174.2,High Tier
Tyreek Hill,2017,170.20000000000002,High Tier
Mecole Hardman,2019,97.5,Low Tier
Calvin Austin III,2024,84.8,Low Tier
David Moore,2020,83.80000000000001,Low Tier
Devin Duvernay,2022,79.1,Low Tier
Jalen Nailor,2024,77.0,Low Tier
Cooper Kupp,2021,294.5,Elite
Ja'Marr Chase,2024,276.0,Elite
CeeDee Lamb,2023,270.2,Elite
Tyreek Hill,2023,257.40000000000003,Elite
Tyreek Hill,2018,247.0,Elite
Deebo Samuel,2023,183.7,Mid Tier
Tyler Lockett,2018,165.4,Mid Tier
Jayden Reed,2024,142.0,Mid Tier
Mike Williams,2018,137.2,Mid Tier
Deebo Samuel,2019,132.1,Mid Tier
KaVontae Turpin,2023,47.7,Bottom Tier
Laviska Shenault,2022,45.7,Bottom Tier
Ray-Ray McCloud,2022,44.1,Bottom Tier
Braxton Berrios,2022,39.68,Bottom Tier
Jake Bobo,2023,37.9,Bottom Tier
