season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name,gsis_id,name,position,birthdate,age,player_name,player_id
2020,REG,0,Darnell Mooney,WR,CHI,7.62752808988764,3.219063439899961,11.735408163265308,24.448922931056114,61,98,62.244897959183675,631.0,4,4.420327868852459,3.913009416524956,0.5073184523275027,00-0036309,Darnell,Mooney,11,D.Mooney,00-0036309,Darnell Mooney,WR,1997-10-29,22.0,Darnell Mooney,00-0036309
2020,REG,0,Marquise Brown,WR,BAL,7.455670103092784,3.2657447915639746,13.7479,39.2965556667143,58,100,57.99999999999999,769.0,8,4.845344827586207,3.8761056868566284,0.9692391407295791,00-0035662,Marquise,Brown,15,M.Brown,00-0035662,Marquise Brown,WR,1997-06-04,23.0,Marquise Brown,00-0035662
2020,REG,0,Braxton Berrios,WR,NYJ,7.141666666666667,3.42324568054728,7.707999999999999,10.42884870371236,37,55,67.27272727272727,394.0,3,6.172702702702702,5.614923542776559,0.5577791599261435,00-0034419,Braxton,Berrios,10,B.Berrios,00-0034419,Braxton Berrios,WR,1995-10-06,24.0,Braxton Berrios,00-0034419
2020,REG,0,Laviska Shenault,WR,JAX,7.064571428571428,3.3113755128203812,6.410253164556963,10.522958256016192,58,79,73.41772151898735,600.0,5,5.222068965517241,4.135107290009778,1.0869616755074638,00-0036268,Laviska,Shenault,10,L.Shenault Jr.,00-0036268,Laviska Shenault,WR,1998-10-05,21.0,Laviska Shenault,00-0036268
2020,REG,0,Henry Ruggs,WR,LV,6.963589743589744,3.3474026702350392,16.91953488372093,16.758381609407213,26,43,60.46511627906976,452.0,2,5.998076923076924,5.83080015370688,0.16727676937004432,00-0036357,Henry,Ruggs,11,H.Ruggs,00-0036357,Henry Ruggs,WR,1999-01-24,21.0,Henry Ruggs,00-0036357
2020,REG,0,Cam Sims,WR,WAS,6.951458333333332,3.5246586529186494,10.934166666666668,14.561011202911983,32,48,66.66666666666666,477.0,1,8.1090625,6.475281805924173,1.6337806940758277,00-0034104,Cam,Sims,89,C.Sims,00-0034104,Cam Sims,WR,1996-01-06,24.0,Cam Sims,00-0034104
2020,REG,0,Deebo Samuel,WR,SF,6.914634146341462,4.60005230039468,2.106818181818182,2.459362157659175,33,44,75.0,391.0,1,12.269393939393941,7.829263578780611,4.44013036061333,00-0035719,Tyshun,Samuel,19,D.Samuel,00-0035719,Deebo Samuel,WR,1996-01-15,24.0,Deebo Samuel,00-0035719
2020,REG,0,Robert Woods,WR,LAR,6.900932203389831,3.4120911201123416,7.077906976744186,23.93202941931967,90,129,69.76744186046511,936.0,6,5.669888888888888,5.717379116319747,-0.047490227430858845,00-0030431,Robert,Woods,17,R.Woods,00-0030431,Robert Woods,WR,1992-04-10,28.0,Robert Woods,00-0030431
2020,REG,0,Curtis Samuel,WR,CAR,6.805316455696203,3.473624456270824,7.058041237113401,17.1250403343814,77,97,79.38144329896907,851.0,3,4.562987012987013,4.752918988072676,-0.1899319750856634,00-0033282,Curtis,Samuel,10,C.Samuel,00-0033282,Curtis Samuel,WR,1996-08-11,24.0,Curtis Samuel,00-0033282
2020,REG,0,Corey Davis,WR,TEN,6.779999999999999,2.4113056853050225,12.291956521739133,28.838905465024357,65,92,70.65217391304348,984.0,5,4.483076923076924,4.009703099208185,0.47337382386873905,00-0033871,Corey,Davis,84,C.Davis,00-0033871,Corey Davis,WR,1995-01-11,25.0,Corey Davis,00-0033871
2020,REG,0,David Moore,WR,SEA,6.7175,4.093774476688737,9.26872340425532,9.43516370701026,35,47,74.46808510638297,417.0,6,5.173428571428572,4.939943265579102,0.23348530584947014,00-0033589,David,Moore,83,D.Moore,00-0033589,David Moore,WR,1995-01-15,25.0,David Moore,00-0033589
2020,REG,0,Brandin Cooks,WR,HOU,6.692454545454546,2.982509150031544,12.027563025210084,30.350092241141684,81,119,68.0672268907563,1143.0,6,4.318518518518519,3.6840213758180864,0.6344971427004324,00-0031236,Brandin,Cooks,13,B.Cooks,00-0031236,Brandin Cooks,WR,1993-09-25,26.0,Brandin Cooks,00-0031236
2020,REG,0,Tre'Quan Smith,WR,NO,6.680000000000001,3.484883469912088,9.507800000000001,14.565581731667788,34,50,68.0,448.0,4,3.8558823529411757,2.8928126062000303,0.9630697467411453,00-0034765,Tre'Quan,Smith,10,T.Smith,00-0034765,Tre'Quan Smith,WR,1996-01-07,24.0,Tre'Quan Smith,00-0034765
2020,REG,0,Danny Amendola,WR,DET,6.6728125,3.4342340432477467,8.304202898550724,11.518752977740073,46,69,66.66666666666666,602.0,0,6.553260869565217,5.39282229410541,1.160438575459807,00-0026035,Daniel,Amendola,80,D.Amendola,00-0026035,Danny Amendola,WR,1985-11-02,34.0,Danny Amendola,00-0026035
2020,REG,0,Marvin Jones,WR,DET,6.661071428571428,2.5339970249728228,12.866695652173913,29.745638176185725,76,115,66.08695652173913,978.0,9,2.7855263157894727,2.525771339184228,0.2597549766052447,00-0029293,Marvin,Jones,11,M.Jones,00-0029293,Marvin Jones,WR,1990-03-12,30.0,Marvin Jones,00-0029293
2020,REG,0,Dalton Schultz,TE,DAL,6.64758064516129,3.0650836734815274,6.737191011235954,12.848859136337918,63,89,70.78651685393258,615.0,4,4.491746031746032,3.5372186040896056,0.954527427656426,00-0034383,Dalton,Schultz,86,D.Schultz,00-0034383,Dalton Schultz,TE,1996-07-11,24.0,Dalton Schultz,00-0034383
2020,REG,0,Hunter Renfrow,WR,LV,6.631029411764706,3.4774215288126977,6.841688311688312,12.1347046425651,56,77,72.72727272727273,656.0,2,6.495892857142855,5.711911941267915,0.78398091587494,00-0034983,Hunter,Renfrow,13,H.Renfrow,00-0034983,Hunter Renfrow,WR,1995-12-21,24.0,Hunter Renfrow,00-0034983
2020,REG,0,Demarcus Robinson,WR,KC,6.608245614035087,4.223176900745077,9.587118644067795,11.274062321862079,45,59,76.27118644067797,466.0,3,3.8628888888888877,3.6068188052671037,0.25607008362178396,00-0032775,Demarcus,Robinson,11,D.Robinson,00-0032775,Demarcus Robinson,WR,1994-09-21,25.0,Demarcus Robinson,00-0032775
2020,REG,0,Jakeem Grant,WR,MIA,6.589245283018867,3.1467739735857205,10.117777777777778,12.857828694072355,36,54,66.66666666666666,373.0,1,4.798888888888889,3.566878881840959,1.2320100070479305,00-0032791,Jakeem,Grant,19,J.Grant,00-0032791,Jakeem Grant,WR,1992-10-30,27.0,Jakeem Grant,00-0032791
2020,REG,0,Keelan Cole,WR,JAX,6.579012345679012,3.2609386382485868,11.389204545454545,20.826276953638803,55,88,62.5,642.0,5,3.462727272727273,3.1027834240453487,0.3599438486819242,00-0033681,Keelan,Cole,84,K.Cole Sr.,00-0033681,Keelan Cole,WR,1993-04-20,27.0,Keelan Cole,00-0033681
2020,REG,0,Golden Tate,WR,NYG,6.578958333333335,2.1363611776062816,9.095,12.067689701101795,35,52,67.3076923076923,388.0,2,2.4134285714285713,2.5540160683995183,-0.14058749697094708,00-0027891,Golden,Tate,15,G.Tate III,00-0027891,Golden Tate,WR,1988-08-02,32.0,Golden Tate,00-0027891
2020,REG,0,Emmanuel Sanders,WR,NO,6.559506172839505,3.1250955253671084,9.351829268292683,23.495690592838393,61,82,74.39024390243902,726.0,5,2.860655737704917,3.3306203287555327,-0.4699645910506156,00-0027685,Emmanuel,Sanders,17,E.Sanders,00-0027685,Emmanuel Sanders,WR,1987-03-17,33.0,Emmanuel Sanders,00-0027685
2020,REG,0,Hayden Hurst,TE,ATL,6.558548387096774,3.418660985400963,6.696136363636364,10.767951611282173,56,88,63.63636363636363,571.0,6,4.7871428571428565,5.195441399944125,-0.4082985428012682,00-0034830,Hayden,Hurst,81,H.Hurst,00-0034830,Hayden Hurst,TE,1993-08-24,27.0,Hayden Hurst,00-0034830
2020,REG,0,Amari Cooper,WR,DAL,6.5578125,2.5315409526690544,9.109692307692308,25.37714501225721,92,130,70.76923076923077,1114.0,5,4.61,3.6869751400640007,0.9230248599359996,00-0031544,Amari,Cooper,19,A.Cooper,00-0031544,Amari Cooper,WR,1994-06-17,26.0,Amari Cooper,00-0031544
2020,REG,0,Jalen Reagor,WR,PHI,6.53076923076923,3.281032594239553,13.851481481481482,14.360094763800845,31,54,57.407407407407405,396.0,1,5.553225806451613,5.470692287826298,0.08253351862531577,00-0036387,Jalen,Reagor,18,J.Reagor,00-0036387,Jalen Reagor,WR,1999-01-02,21.0,Jalen Reagor,00-0036387
2020,REG,0,Eric Ebron,TE,PIT,6.495735294117647,2.9960424945381092,7.624395604395605,14.619355654354289,56,91,61.53846153846154,558.0,5,3.6228571428571428,3.656230578748114,-0.033373435890971415,00-0031387,Eric,Ebron,85,E.Ebron,00-0031387,Eric Ebron,TE,1993-04-10,27.0,Eric Ebron,00-0031387
2020,REG,0,Sterling Shepard,WR,NYG,6.4868539325842685,3.026044201664412,8.160222222222222,18.739697784672853,66,90,73.33333333333333,656.0,3,3.1839393939393936,3.4922379862569866,-0.30829859231759293,00-0032385,Sterling,Shepard,87,S.Shepard,00-0032385,Sterling Shepard,WR,1993-02-10,27.0,Sterling Shepard,00-0032385
2020,REG,0,Randall Cobb,WR,HOU,6.458292682926828,2.8636152896080707,6.974374999999999,7.098751033736936,38,48,79.16666666666666,441.0,3,4.723421052631578,4.732513176151268,-0.009092123519689466,00-0028002,Randall,Cobb,18,R.Cobb,00-0028002,Randall Cobb,WR,1990-08-22,30.0,Randall Cobb,00-0028002
2020,REG,0,Chris Godwin,WR,TB,6.4354545454545455,2.953453672044493,9.795238095238094,14.691151919866433,65,84,77.38095238095238,840.0,7,4.811692307692309,3.738555946474669,1.0731363612176397,00-0033921,Rod,Godwin,14,C.Godwin,00-0033921,Chris Godwin,WR,1996-02-27,24.0,Chris Godwin,00-0033921
2020,REG,0,Robby Anderson,WR,CAR,6.432755905511811,2.8827387634713024,9.594338235294117,32.6384563625767,95,136,69.85294117647058,1093.0,3,5.475157894736842,4.811136185741002,0.6640217089958398,00-0032688,Robby,Anderson,11,R.Anderson,00-0032688,Robbie Chosen,WR,1993-05-09,27.0,Robby Anderson,00-0032688
2020,REG,0,Tee Higgins,WR,CIN,6.4280188679245285,2.4799228597399954,12.045,27.291265435595335,67,108,62.03703703703704,908.0,6,4.621492537313433,3.244749659403016,1.376742877910417,00-0036410,Tamaurice,Higgins,85,T.Higgins,00-0036410,Tee Higgins,WR,1999-01-18,21.0,Tee Higgins,00-0036410
2020,REG,0,Cole Kmet,TE,CHI,6.427096774193548,3.5571709967818976,6.157272727272726,5.759390472303182,28,44,63.63636363636363,243.0,2,5.498928571428571,5.189630391120947,0.309298180307624,00-0036290,Cole,Kmet,85,C.Kmet,00-0036290,Cole Kmet,TE,1999-03-10,21.0,Cole Kmet,00-0036290
2020,REG,0,Dallas Goedert,TE,PHI,6.4071428571428575,2.8509259067268204,8.760153846153848,10.931818443615926,46,65,70.76923076923077,524.0,3,4.491521739130435,4.138771865463368,0.3527498736670669,00-0034351,Dallas,Goedert,88,D.Goedert,00-0034351,Dallas Goedert,TE,1995-01-03,25.0,Dallas Goedert,00-0034351
2020,REG,0,Anthony Firkser,TE,TEN,6.371621621621622,2.4210218083590065,7.172830188679246,9.694744089970163,39,53,73.58490566037736,387.0,1,3.7053846153846153,3.102038423195095,0.6033461921895205,00-0033455,Anthony,Firkser,86,A.Firkser,00-0033455,Anthony Firkser,TE,1995-02-19,25.0,Anthony Firkser,00-0033455
2020,REG,0,Cooper Kupp,WR,LAR,6.346637931034483,3.2377422670247293,6.328064516129033,20.567312682494673,92,124,74.19354838709677,974.0,3,5.8128260869565205,4.428676558776318,1.3841495281802025,00-0033908,Cooper,Kupp,10,C.Kupp,00-0033908,Cooper Kupp,WR,1993-06-15,27.0,Cooper Kupp,00-0033908
2020,REG,0,Mecole Hardman,WR,KC,6.343035714285713,3.408409829710322,10.56032258064516,13.049960336284524,41,62,66.12903225806451,560.0,4,7.199024390243902,6.400721649058064,0.7983027411858377,00-0035140,Mecole,Hardman,17,M.Hardman,00-0035140,Mecole Hardman,WR,1998-03-12,22.0,Mecole Hardman,00-0035140
2020,REG,0,DeAndre Hopkins,WR,ARI,6.30496855345912,3.142846883761298,8.9670625,33.2071916936309,115,160,71.875,1407.0,6,4.690782608695652,3.629404293483714,1.0613783152119378,00-0030564,DeAndre,Hopkins,10,D.Hopkins,00-0030564,DeAndre Hopkins,WR,1992-06-06,28.0,DeAndre Hopkins,00-0030564
2020,REG,0,Jared Cook,TE,NO,6.297551020408163,2.2008466815976386,11.711,21.528958664619967,37,60,61.66666666666667,504.0,7,3.3056756756756758,2.0086925200277705,1.2969831556479052,00-0027061,Jared,Cook,87,J.Cook,00-0027061,Jared Cook,TE,1987-04-07,33.0,Jared Cook,00-0027061
