season,player_id,games,passing_yards,passing_tds,interceptions,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,fantasy_points,fantasy_points_ppr,calculated_points,position,passing_yards_per_game,passing_tds_per_game,interceptions_per_game,rushing_yards_per_game,rushing_tds_per_game,receptions_per_game,targets_per_game,receiving_yards_per_game,receiving_tds_per_game,fantasy_points_per_game,calculated_points_per_game
2017,00-0019596,16,4577.0,32,8.0,28.0,0,0,0,0.0,0,295.88,295.88,329.88000000000005,QB,286.0625,2.0,0.5,1.75,0.0,0.0,0.0,0.0,0.0,18.4925,20.617500000000003
2018,00-0019596,16,4355.0,29,11.0,35.0,2,1,1,6.0,0,280.3,281.3,328.80000000000007,QB,272.1875,1.8125,0.6875,2.1875,0.125,0.0625,0.0625,0.375,0.0,17.51875,20.550000000000004
2019,00-0019596,16,4057.0,24,8.0,34.0,3,0,0,0.0,0,263.68,263.68,295.67999999999995,QB,253.5625,1.5,0.5,2.125,0.1875,0.0,0.0,0.0,0.0,16.48,18.479999999999997
2020,00-0019596,16,4633.0,40,12.0,6.0,3,0,0,0.0,0,337.92,337.92,387.92,QB,289.5625,2.5,0.75,0.375,0.1875,0.0,0.0,0.0,0.0,21.12,24.245
2021,00-0019596,17,5316.0,43,12.0,81.0,2,0,0,0.0,0,374.74,374.74,428.74,QB,312.70588235294116,2.5294117647058822,0.7058823529411765,4.764705882352941,0.11764705882352941,0.0,0.0,0.0,0.0,22.043529411764705,25.22
2022,00-0019596,17,4694.0,25,9.0,-1.0,1,0,1,0.0,0,271.65999999999997,271.65999999999997,311.65999999999997,QB,276.11764705882354,1.4705882352941178,0.5294117647058824,-0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,15.979999999999999,18.332941176470587
2017,00-0020531,16,4334.0,23,8.0,12.0,2,0,0,0.0,0,262.56,262.56,294.56,QB,270.875,1.4375,0.5,0.75,0.125,0.0,0.0,0.0,0.0,16.41,18.41
2018,00-0020531,15,3992.0,32,5.0,22.0,4,1,1,1.0,0,303.98,304.98,324.48,QB,266.1333333333333,2.1333333333333333,0.3333333333333333,1.4666666666666666,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,20.265333333333334,21.632
2019,00-0020531,11,2979.0,27,4.0,-4.0,1,0,0,0.0,0,224.76,224.76,240.76,QB,270.8181818181818,2.4545454545454546,0.36363636363636365,-0.36363636363636365,0.09090909090909091,0.0,0.0,0.0,0.0,20.432727272727274,21.887272727272727
2020,00-0020531,12,2942.0,24,6.0,-2.0,2,0,0,0.0,0,209.48000000000002,209.48000000000002,237.48000000000002,QB,245.16666666666666,2.0,0.5,-0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,17.456666666666667,19.790000000000003
2017,00-0021206,13,2926.0,18,9.0,124.0,5,0,0,0.0,0,205.44,205.44,249.44000000000003,QB,225.07692307692307,1.3846153846153846,0.6923076923076923,9.538461538461538,0.38461538461538464,0.0,0.0,0.0,0.0,15.803076923076922,19.18769230769231
2018,00-0021206,4,539.0,1,4.0,32.0,0,0,0,0.0,0,20.76,20.76,36.760000000000005,QB,134.75,0.25,1.0,8.0,0.0,0.0,0.0,0.0,0.0,5.19,9.190000000000001
2019,00-0021206,2,24.0,0,0.0,-2.0,0,0,0,0.0,0,0.76,0.76,0.76,QB,12.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.38,0.38
2017,00-0021429,7,1978.0,9,7.0,12.0,0,0,0,0.0,0,102.32000000000001,102.32000000000001,130.32,QB,282.57142857142856,1.2857142857142858,1.0,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,14.617142857142857,18.617142857142856
2017,00-0021547,16,0.0,0,0.0,0.0,0,30,52,316.0,3,49.6,79.6,64.6,TE,0.0,0.0,0.0,0.0,0.0,1.875,3.25,19.75,0.1875,3.1,4.0375
2018,00-0021547,15,0.0,0,0.0,0.0,0,28,45,333.0,2,47.3,75.3,59.300000000000004,TE,0.0,0.0,0.0,0.0,0.0,1.8666666666666667,3.0,22.2,0.13333333333333333,3.1533333333333333,3.9533333333333336
2017,00-0022127,16,0.0,0,0.0,0.0,0,63,87,560.0,5,84.0,147.0,117.5,TE,0.0,0.0,0.0,0.0,0.0,3.9375,5.4375,35.0,0.3125,5.25,7.34375
